tweet
Cisco has issued a warning about two vulnerabilities affecting EoL Small Business routers that will not be fixed.  Read:  https://t.co/6EwlfFNfUa  A proof-of-concept exploit is publicly available.  #infosec #cybersecurity #hacking #technews
⚡ New — #DevOps platform #CircleCI recently fell victim to a breach after an employee's laptop was hacked.  Read:  https://t.co/HBDlz9x4a5  The attacker used #malware to steal 2FA-backed credentials to gain access to the company's systems.  #hacking #cyberattack #hacking
"If you use Cacti for web-based monitoring, be sure to patch ASAP!  A critical #vulnerability [CVE-2022-46169] is being actively exploited in the wild and a majority of internet-exposed servers have not been patched yet.  Read:  https://t.co/tlbSlqhRgc  #infosec #cybersecurity"
"Beware of tainted VPN installers! They're being used to deliver a surveillanceware called ""EyeSpy"" as part of a #malware campaign.  Read details:  https://t.co/2ct7muoPvt  Most infections reported in Iran, with some in Germany and the US.   #cybersecurity #hacking #cyberattack"
The French data protection watchdog has fined #TikTok €5 million for failing to comply with cookie consent regulations.  Read:  https://t.co/7axLONMW4d  #technews #privacy #cybersecurity
Cisco has issued a warning about two vulnerabilities affecting EoL Small Business routers that will not be fixed.  Read:  https://t.co/6EwlfFNNJI  A proof-of-concept exploit is publicly available.  #infosec #cybersecurity #hacking #technews
"⏰ WEBINAR: ""When to Use Agent-Based vs. Agentless Workload Security.""  Join @tsupasat &amp; @sirjackery of @Uptycs for 30 mins January 24, 10AM PST. Dive into the benefits of #agentless scanning #cloud workload protection.  Register:  https://t.co/Moi2Mvc503"
"Beware of tainted VPN installers! They're being used to deliver a surveillanceware called ""EyeSpy"" as part of a #malware campaign.  Read details:  https://t.co/2ct7mupnl1  Most infections reported in Iran, with some in Germany and the US.   #cybersecurity #hacking #cyberattack"
Cybercriminals are now using polyglot and malicious JAR files to evade detection and spread Trojans like StrRAT and Ratty.  Read:  https://t.co/2ohojAClT4  #cybersecurity #infosec #hacking #malware
"Get lifetime access to 9 online #cybersecurity and #hacking training courses for only $49.99 with the 2023 Certified Technology Professional Bundle!   https://t.co/jt0EE50ZNw  Save over $1,700 on this limited-time offer &amp; learn the skills needed to become a certified professional."
"A #vulnerability (CVE-2022-42475) in FortiOS SSL-VPN was exploited by hackers as a ""zero-day"" to attack governments and large organizations before #Fortinet fixed it.  Details:  https://t.co/OPRoYajGGQ  #infosec #cyberattack #cybersecurity #hacking"
Don't wait until it's too late to protect your business.  Get comprehensive agentless and runtime cloud security coverage for all of 2023 for just $1 with Unified CNAPP and XDR.  Details:  https://t.co/OI4gxWG3cn  #security #cloudsecurity
Malware-as-a-Service (MaaS) is changing the game for cybercriminals.  Learn more about this growing threat:  https://t.co/kZLnZQRCn2  #infosec #cybersecurity
Cybercriminals are now using polyglot and malicious JAR files to evade detection and spread Trojans like StrRAT and Ratty.  Read:  https://t.co/2ohojACTIC  #cybersecurity #infosec #hacking #malware
Beware of #IcedID malware - it's using attack techniques borrowed from other hackers to quickly compromise Active Directory domains.  Read:  https://t.co/sY9qmqFX9X  #cybersecurity #hacking #malware
"A #vulnerability (CVE-2022-42475) in FortiOS SSL-VPN was exploited by hackers as a ""zero-day"" to attack governments and large organizations before #Fortinet fixed it.  Details:  https://t.co/OPRoYakewo  #infosec #cyberattack #cybersecurity #hacking"
Researchers have uncovered details of a vulnerability in Google #Chrome and Chromium-based browsers that could have potentially enabled hackers to steal sensitive information.  Read:  https://t.co/C7DSiFK6OL  #infosec #cybersecurity #technologynews #hacking
